POD Serial Number,Location Name,UTC (Interval start),UTC (Interval end),Gas Protocol Version,NO State,NO PreScaled ppb,NO Scaled ppb,NO2 State,NO2 PreScaled ppb,NO2 Scaled ppb,NOx State,NOx PreScaled ppb,NOx Scaled ppb,Particle Protocol Version,PM State,PM2.5 PreScaled µg/m³,PM2.5 Scaled µg/m³,PM10 PreScaled µg/m³,PM10 Scaled µg/m³,Pressure mbar,Humidity %RH,Peak Noise dB,Temperature C
2450005,Pod 2450005,13/Nov/2022 00:00:00,13/Nov/2022 01:00:00,V5.3.1,Reading,1.29,1.29,Reading,19.22,19.22,OK,20.51,20.51,v3.0,Deliquescence,51.21,51.21,66.34,66.34,1016,88.45,,11.35
2450005,Pod 2450005,13/Nov/2022 01:00:00,13/Nov/2022 02:00:00,V5.3.1,Reading,0.23,0.23,Reading,14.46,14.46,OK,14.69,14.69,v3.0,OK,40.59,40.59,37.35,37.35,1015.43,88.6,,11.8
2450005,Pod 2450005,13/Nov/2022 02:00:00,13/Nov/2022 03:00:00,V5.3.1,Reading,1.39,1.39,Reading,12.29,12.29,OK,13.68,13.68,v3.0,OK,34.94,34.94,29.36,29.36,1014.53,88.65,,12
2450005,Pod 2450005,13/Nov/2022 03:00:00,13/Nov/2022 04:00:00,V5.3.1,Reading,0.58,0.58,Reading,12.3,12.3,OK,12.88,12.88,v3.0,OK,30.73,30.73,24.28,24.28,1014.73,88.48,,12.18
2450005,Pod 2450005,13/Nov/2022 04:00:00,13/Nov/2022 05:00:00,V5.3.1,Reading,1.08,1.08,Reading,12.03,12.03,OK,13.12,13.12,v3.0,OK,31.17,31.17,24.5,24.5,1014.58,88.48,,12.15
2450005,Pod 2450005,13/Nov/2022 05:00:00,13/Nov/2022 06:00:00,V5.3.1,Reading,0.45,0.45,Reading,11.59,11.59,OK,12.03,12.03,v3.0,OK,32.81,32.81,28.65,28.65,1014.18,88.43,,12
2450005,Pod 2450005,13/Nov/2022 06:00:00,13/Nov/2022 07:00:00,V5.3.1,Reading,0.78,0.78,Reading,12.07,12.07,OK,12.85,12.85,v3.0,Deliquescence,30.27,30.27,73.23,73.23,1013.58,88.35,,11.75
2450005,Pod 2450005,13/Nov/2022 07:00:00,13/Nov/2022 08:00:00,V5.3.1,Reading,0.61,0.61,Reading,12.57,12.57,OK,13.18,13.18,v3.0,Deliquescence,24.44,24.44,103.6,103.6,1012.98,88.43,,11.35
2450005,Pod 2450005,13/Nov/2022 08:00:00,13/Nov/2022 09:00:00,V5.3.1,Reading,3.27,3.27,Reading,12.77,12.77,OK,16.04,16.04,v3.0,Deliquescence,23.24,23.24,84.28,84.28,1012.98,88.78,,11.03
2450005,Pod 2450005,13/Nov/2022 09:00:00,13/Nov/2022 10:00:00,V5.3.1,Reading,5.96,5.96,Reading,15.05,15.05,OK,21.01,21.01,v3.0,Deliquescence,22.68,22.68,52.8,52.8,1012.65,89.18,,11.23
2450005,Pod 2450005,13/Nov/2022 10:00:00,13/Nov/2022 11:00:00,V5.3.1,Reading,6.54,6.54,Reading,15.08,15.08,OK,21.62,21.62,v3.0,Deliquescence,20.48,20.48,24.4,24.4,1012.5,89.08,,11.3
2450005,Pod 2450005,13/Nov/2022 11:00:00,13/Nov/2022 12:00:00,V5.3.1,Reading,9.85,9.85,Reading,16.51,16.51,OK,26.36,26.36,v3.0,OK,20.66,20.66,16.12,16.12,1012.23,89.03,,11.65
2450005,Pod 2450005,13/Nov/2022 12:00:00,13/Nov/2022 13:00:00,V5.3.1,Reading,7.14,7.14,Reading,16.35,16.35,OK,23.49,23.49,v3.0,OK,21.81,21.81,16.09,16.09,1011.15,88.48,,12.35
2450005,Pod 2450005,13/Nov/2022 13:00:00,13/Nov/2022 14:00:00,V5.3.1,Reading,6.03,6.03,Reading,14.77,14.77,OK,20.8,20.8,v3.0,OK,20.97,20.97,14.77,14.77,1010.43,88.08,,13.6
2450005,Pod 2450005,13/Nov/2022 14:00:00,13/Nov/2022 15:00:00,V5.3.1,Reading,6.6,6.6,Reading,18.35,18.35,OK,24.95,24.95,v3.0,OK,23.73,23.73,16.55,16.55,1009.5,84.38,,15.1
2450005,Pod 2450005,13/Nov/2022 15:00:00,13/Nov/2022 16:00:00,V5.3.1,Reading,4.12,4.12,Reading,18.55,18.55,OK,22.67,22.67,v3.0,OK,28.06,28.06,20.08,20.08,1009.1,83.43,,14.45
2450005,Pod 2450005,13/Nov/2022 16:00:00,13/Nov/2022 17:00:00,V5.3.1,Reading,7.9,7.9,Reading,21.39,21.39,OK,29.29,29.29,v3.0,OK,30.56,30.56,22.33,22.33,1009.08,84.75,,12.98
2450005,Pod 2450005,13/Nov/2022 17:00:00,13/Nov/2022 18:00:00,V5.3.1,Reading,9.96,9.96,Reading,22.93,22.93,OK,32.89,32.89,v3.0,OK,37.56,37.56,27.95,27.95,1008.85,86.63,,12.13
2450005,Pod 2450005,13/Nov/2022 18:00:00,13/Nov/2022 19:00:00,V5.3.1,Reading,18.89,18.89,Reading,27.11,27.11,OK,46,46,v3.0,OK,40.85,40.85,31.17,31.17,1007.83,87.38,,11.68
2450005,Pod 2450005,13/Nov/2022 19:00:00,13/Nov/2022 20:00:00,V5.3.1,Reading,25.24,25.24,Reading,28,28,OK,53.24,53.24,v3.0,OK,52.3,52.3,41.21,41.21,1007.25,88.28,,11.38
2450005,Pod 2450005,13/Nov/2022 20:00:00,13/Nov/2022 21:00:00,V5.3.1,Reading,18.16,18.16,Reading,25.17,25.17,OK,43.33,43.33,v3.0,Deliquescence,55.97,55.97,47.59,47.59,1006.85,88.45,,11.15
2450005,Pod 2450005,13/Nov/2022 21:00:00,13/Nov/2022 22:00:00,V5.3.1,Reading,24.08,24.08,Reading,21.55,21.55,OK,45.62,45.62,v3.0,OK,51.07,51.07,40.51,40.51,1006.55,88.38,,10.7
2450005,Pod 2450005,13/Nov/2022 22:00:00,13/Nov/2022 23:00:00,V5.3.1,Reading,23.49,23.49,Reading,21.43,21.43,OK,44.92,44.92,v3.0,OK,48.46,48.46,37.13,37.13,1006.6,88.8,,10.13
2450005,Pod 2450005,13/Nov/2022 23:00:00,14/Nov/2022 00:00:00,V5.3.1,Reading,19.19,19.19,Reading,18.96,18.96,OK,38.15,38.15,v3.0,OK,47.39,47.39,36.23,36.23,1006.05,89.08,,9.75
2450005,Pod 2450005,14/Nov/2022 00:00:00,14/Nov/2022 01:00:00,V5.3.1,Reading,18.06,18.06,Reading,19.04,19.04,OK,37.1,37.1,v3.0,OK,51.08,51.08,40,40,1005.3,89.4,,9.53
2450005,Pod 2450005,14/Nov/2022 01:00:00,14/Nov/2022 02:00:00,V5.3.1,Reading,13.83,13.83,Reading,17.62,17.62,OK,31.45,31.45,v3.0,OK,51.69,51.69,41.72,41.72,1004.55,89.78,,9.35
2450005,Pod 2450005,14/Nov/2022 02:00:00,14/Nov/2022 03:00:00,V5.3.1,Reading,14.33,14.33,Reading,17.23,17.23,OK,31.56,31.56,v3.0,Deliquescence,59.11,59.11,62.17,62.17,1003.6,89.98,,9.43
2450005,Pod 2450005,14/Nov/2022 03:00:00,14/Nov/2022 04:00:00,V5.3.1,Reading,13.36,13.36,Reading,15.36,15.36,OK,28.72,28.72,v3.0,Deliquescence,63.24,63.24,118.44,118.44,1003.18,90.05,,9.78
2450005,Pod 2450005,14/Nov/2022 04:00:00,14/Nov/2022 05:00:00,V5.3.1,Reading,18.32,18.32,Reading,15.72,15.72,OK,34.05,34.05,v3.0,Deliquescence,58.38,58.38,106.39,106.39,1003,90.03,,9.78
2450005,Pod 2450005,14/Nov/2022 05:00:00,14/Nov/2022 06:00:00,V5.3.1,Reading,17.73,17.73,Reading,15.38,15.38,OK,33.11,33.11,v3.0,Deliquescence,55.68,55.68,120.72,120.72,1002.78,90.03,,9.68
2450005,Pod 2450005,14/Nov/2022 06:00:00,14/Nov/2022 07:00:00,V5.3.1,Reading,18.77,18.77,Reading,13.64,13.64,OK,32.42,32.42,v3.0,Deliquescence,47.12,47.12,104.03,104.03,1002.5,89.9,,9.6
2450005,Pod 2450005,14/Nov/2022 07:00:00,14/Nov/2022 08:00:00,V5.3.1,Reading,28.62,28.62,Reading,14.81,14.81,OK,43.43,43.43,v3.0,Deliquescence,44.08,44.08,91.61,91.61,1002,90.08,,9.4
2450005,Pod 2450005,14/Nov/2022 08:00:00,14/Nov/2022 09:00:00,V5.3.1,Reading,33.84,33.84,Reading,17.5,17.5,OK,51.34,51.34,v3.0,Deliquescence,37.13,37.13,102.05,102.05,1002.05,90.65,,9.78
2450005,Pod 2450005,14/Nov/2022 09:00:00,14/Nov/2022 10:00:00,V5.3.1,Reading,28.34,28.34,Reading,17.99,17.99,OK,46.33,46.33,v3.0,Deliquescence,35.83,35.83,102.01,102.01,1001.63,90.75,,10.43
2450005,Pod 2450005,14/Nov/2022 10:00:00,14/Nov/2022 11:00:00,V5.3.1,Reading,22.82,22.82,Reading,16.44,16.44,OK,39.27,39.27,v3.0,Deliquescence,28.55,28.55,59.16,59.16,1000.7,90.85,,10.88
2450005,Pod 2450005,14/Nov/2022 11:00:00,14/Nov/2022 12:00:00,V5.3.1,Reading,18.77,18.77,Reading,17.06,17.06,OK,35.84,35.84,v3.0,Deliquescence,30.17,30.17,40.05,40.05,1000.38,91,,11.48
2450005,Pod 2450005,14/Nov/2022 12:00:00,14/Nov/2022 13:00:00,V5.3.1,Reading,8.9,8.9,Reading,20.22,20.22,OK,29.12,29.12,v3.0,OK,35.63,35.63,33.02,33.02,999.95,90.68,,12
2450005,Pod 2450005,14/Nov/2022 13:00:00,14/Nov/2022 14:00:00,V5.3.1,Reading,13.18,13.18,Reading,21.5,21.5,OK,34.68,34.68,v3.0,OK,37.18,37.18,31.1,31.1,999.3,90.75,,12.5
