,Datetime,PM2.5 Scaled µg/m³,Temperature C,precip,windgust,windspeed,winddir,visibility,conditions,Pressure.humidity,PM2.5_cat
0,2022-11-13 00:00:00,51.21,11.35,0.019,24.1,8.6,116.0,5.0,"Rain, Overcast",89865.2,5
1,2022-11-13 01:00:00,40.59,11.8,0.0,18.4,9.5,135.0,4.4,Overcast,89967.09799999998,5
2,2022-11-13 02:00:00,34.94,12.0,0.0,22.3,11.3,135.0,3.5,Overcast,89938.0845,5
3,2022-11-13 03:00:00,30.73,12.18,0.0,25.9,7.7,138.0,4.4,Overcast,89783.3104,5
4,2022-11-13 04:00:00,31.17,12.15,0.0,9.4,8.4,132.0,5.6,Overcast,89770.0384,5
5,2022-11-13 05:00:00,32.81,12.0,0.0,9.4,7.8,135.0,5.6,Overcast,89683.9374,5
6,2022-11-13 06:00:00,30.27,11.75,0.011,11.2,9.5,125.0,5.0,"Rain, Overcast",89549.793,5
7,2022-11-13 07:00:00,24.44,11.35,0.0,7.6,10.9,102.0,3.4,Overcast,89577.82140000002,5
8,2022-11-13 08:00:00,23.24,11.03,0.0,5.4,8.8,96.0,2.7,Overcast,89932.3644,5
9,2022-11-13 09:00:00,22.68,11.23,0.0,14.8,10.2,97.0,3.9,Overcast,90308.12700000001,5
10,2022-11-13 10:00:00,20.48,11.3,0.0,5.4,7.0,77.0,7.2,Overcast,90193.5,5
11,2022-11-13 11:00:00,20.66,11.65,0.0,3.6,7.5,112.0,10.0,Overcast,90118.83690000001,5
12,2022-11-13 12:00:00,21.81,12.35,0.0,3.6,10.5,103.0,9.6,Partially cloudy,89466.552,5
13,2022-11-13 13:00:00,20.97,13.6,0.0,13.0,9.8,98.0,11.4,Partially cloudy,88998.67439999999,5
14,2022-11-13 14:00:00,23.73,15.1,0.0,20.5,9.9,99.0,14.1,Partially cloudy,85181.61,5
15,2022-11-13 15:00:00,28.06,14.45,0.0,14.8,10.8,96.0,13.1,Partially cloudy,84189.213,5
16,2022-11-13 16:00:00,30.56,12.98,0.0,3.6,9.4,97.0,11.6,Clear,85519.53,5
17,2022-11-13 17:00:00,37.56,12.13,0.0,11.2,7.7,91.0,6.9,Partially cloudy,87396.6755,5
18,2022-11-13 18:00:00,40.85,11.68,0.0,16.6,12.0,86.0,4.8,Partially cloudy,88064.1854,5
19,2022-11-13 19:00:00,52.3,11.38,0.0,16.6,9.4,103.0,7.1,Partially cloudy,88920.03,5
20,2022-11-13 20:00:00,55.97,11.15,0.0,22.3,4.0,111.0,6.3,Overcast,89055.8825,5
21,2022-11-13 21:00:00,51.07,10.7,0.0,24.1,4.7,82.0,3.9,Partially cloudy,88958.889,5
22,2022-11-13 22:00:00,48.46,10.13,0.0,20.5,6.3,89.0,5.7,Clear,89386.08,5
23,2022-11-13 23:00:00,47.39,9.75,0.0,7.6,3.6,322.0,3.9,Clear,89618.934,5
24,2022-11-14 00:00:00,51.08,9.53,0.019,13.0,2.9,323.0,5.4,Rain,89873.82,5
25,2022-11-14 01:00:00,51.69,9.35,0.0,16.6,3.1,101.0,1.4,Partially cloudy,90188.499,5
26,2022-11-14 02:00:00,59.11,9.43,0.0,5.4,3.6,359.0,0.2,Overcast,90303.928,5
27,2022-11-14 03:00:00,63.24,9.78,0.0,11.2,2.7,195.0,0.6,Overcast,90336.359,5
28,2022-11-14 04:00:00,58.38,9.78,0.0,18.4,3.3,79.0,0.0,Overcast,90300.09,5
29,2022-11-14 05:00:00,55.68,9.68,0.0,18.4,3.1,100.0,0.2,Overcast,90280.2834,5
30,2022-11-14 06:00:00,47.12,9.6,0.104,16.6,3.8,116.0,0.1,"Rain, Overcast",90124.75,5
31,2022-11-14 07:00:00,44.08,9.4,0.0,16.6,5.2,125.0,0.0,Overcast,90260.16,5
32,2022-11-14 08:00:00,37.13,9.78,0.019,14.8,4.4,192.0,0.5,"Rain, Fog",90835.8325,5
33,2022-11-14 09:00:00,35.83,10.43,0.0,20.5,3.5,241.0,0.0,Overcast,90897.9225,5
34,2022-11-14 10:00:00,28.55,10.88,0.077,16.6,6.6,172.0,1.2,"Rain, Overcast",90913.595,5
35,2022-11-14 11:00:00,30.17,11.48,0.0,18.4,6.2,168.0,3.8,Overcast,91034.58,5
36,2022-11-14 12:00:00,35.63,12.0,0.0,13.0,7.0,140.0,6.2,Overcast,90675.46600000001,5
37,2022-11-14 13:00:00,37.18,12.5,0.0,9.4,7.8,125.0,7.1,Overcast,90686.47499999999,5
38,2022-11-14 14:00:00,34.11,13.23,0.0,5.4,5.2,128.0,7.5,Overcast,89956.1754,5
39,2022-11-14 15:00:00,35.93,13.23,0.0,7.6,6.7,104.0,8.5,Partially cloudy,88326.17,5
40,2022-11-14 16:00:00,38.84,12.28,0.0,7.6,7.7,106.0,7.5,Partially cloudy,88491.99840000001,5
41,2022-11-14 17:00:00,42.93,12.13,0.0,13.0,5.4,118.0,6.9,Overcast,89313.3374,5
42,2022-11-14 18:00:00,44.2,12.38,0.0,16.6,7.3,129.0,7.3,Overcast,89464.42450000001,5
43,2022-11-14 19:00:00,36.81,12.6,0.0,11.2,8.6,162.0,5.4,Overcast,89731.887,5
44,2022-11-14 20:00:00,18.44,12.63,0.021,18.4,12.4,239.0,8.8,"Rain, Overcast",89308.19840000001,5
45,2022-11-14 21:00:00,7.04,12.28,0.495,22.3,13.7,240.0,13.1,"Rain, Overcast",88521.4845,3
46,2022-11-14 22:00:00,3.48,11.58,0.0,24.1,12.9,237.0,14.1,Partially cloudy,87254.28050000001,2
47,2022-11-14 23:00:00,4.45,10.55,0.011,13.0,8.8,211.0,13.6,"Rain, Partially cloudy",86392.21500000001,2
48,2022-11-15 00:00:00,3.94,9.8,0.0,16.6,9.4,184.0,13.6,Partially cloudy,86318.54440000001,2
49,2022-11-15 01:00:00,2.97,9.35,0.0,22.3,12.0,165.0,14.1,Partially cloudy,86385.4304,2
50,2022-11-15 02:00:00,2.84,9.3,0.0,25.9,10.9,160.0,13.6,Partially cloudy,86458.2129,2
51,2022-11-15 03:00:00,2.66,9.73,0.0,22.3,13.6,154.0,14.1,Partially cloudy,86800.504,2
52,2022-11-15 04:00:00,2.76,10.63,0.0,29.5,14.9,152.0,11.7,Overcast,86297.875,2
53,2022-11-15 05:00:00,2.94,10.98,0.0,35.3,17.3,156.0,12.1,Overcast,86167.45,2
54,2022-11-15 06:00:00,3.32,11.63,0.0,40.7,22.2,168.0,11.4,Overcast,85354.76550000001,2
55,2022-11-15 07:00:00,2.94,11.8,0.038,33.5,22.5,164.0,7.6,"Rain, Overcast",85060.4419,2
56,2022-11-15 08:00:00,1.92,11.43,0.203,29.5,22.4,151.0,6.9,"Rain, Overcast",86802.828,1
57,2022-11-15 09:00:00,1.17,11.58,1.27,35.3,21.7,157.0,6.3,"Rain, Overcast",87670.25,1
58,2022-11-15 10:00:00,1.32,11.8,0.736,38.9,20.5,158.0,7.5,"Rain, Overcast",88107.845,1
59,2022-11-15 11:00:00,1.71,12.08,1.12,42.5,24.4,161.0,6.1,"Rain, Overcast",88082.2024,1
60,2022-11-15 12:00:00,1.83,12.25,4.949,44.6,25.0,165.0,7.6,"Rain, Overcast",87943.66339999999,1
61,2022-11-15 13:00:00,2.78,12.65,0.683,51.8,22.1,179.0,7.0,"Rain, Partially cloudy",88280.7925,2
62,2022-11-15 14:00:00,2.19,13.98,0.145,37.1,26.7,213.0,13.6,"Rain, Partially cloudy",85195.348,1
63,2022-11-15 15:00:00,2.26,13.95,0.0,33.5,21.8,216.0,12.6,Partially cloudy,81115.2415,1
64,2022-11-15 16:00:00,2.49,12.78,0.0,37.1,17.5,206.0,12.1,Partially cloudy,81953.7975,1
65,2022-11-15 17:00:00,2.89,11.98,0.032,27.7,16.8,201.0,11.6,"Rain, Partially cloudy",83449.0875,2
66,2022-11-15 18:00:00,3.25,11.38,0.043,24.1,15.5,207.0,13.6,"Rain, Partially cloudy",83622.07800000001,2
67,2022-11-15 19:00:00,3.42,10.55,0.0,16.6,13.8,193.0,13.1,Partially cloudy,83751.2865,2
68,2022-11-15 20:00:00,3.63,9.93,0.019,25.9,15.6,202.0,12.1,Rain,83449.0875,2
69,2022-11-15 21:00:00,4.83,9.13,0.0,20.5,16.6,215.0,12.6,Clear,83994.16500000001,2
70,2022-11-15 22:00:00,4.9,8.53,0.0,20.5,12.5,187.0,13.1,Partially cloudy,85059.138,2
71,2022-11-15 23:00:00,3.58,8.38,0.0,18.4,12.2,181.0,10.4,Clear,85686.90100000001,2
72,2022-11-16 00:00:00,2.18,9.0,0.0,30.2,18.4,200.0,9.0,Partially cloudy,85198.3664,1
73,2022-11-16 01:00:00,1.41,8.9,0.0,28.8,18.4,180.0,10.0,Partially cloudy,85157.7504,1
74,2022-11-16 02:00:00,1.12,8.48,0.0,27.7,14.8,160.0,10.0,Partially cloudy,85708.3524,1
75,2022-11-16 03:00:00,1.26,8.3,0.0,27.7,11.2,174.0,10.0,Partially cloudy,85889.736,1
76,2022-11-16 04:00:00,1.4,8.18,0.0,25.2,10.5,146.0,10.0,Partially cloudy,86655.90100000001,1
77,2022-11-16 05:00:00,1.38,8.35,0.0,24.5,10.0,160.0,10.0,Partially cloudy,86385.9764,1
78,2022-11-16 06:00:00,1.56,8.35,0.0,23.8,5.4,41.0,10.0,Overcast,86674.659,1
79,2022-11-16 07:00:00,2.3,8.55,0.0,18.7,11.8,179.0,7.9,Partially cloudy,86975.3265,1
80,2022-11-16 08:00:00,2.36,8.58,0.053,18.4,11.2,144.0,9.7,"Rain, Overcast",87325.92,1
81,2022-11-16 09:00:00,2.21,8.95,2.828,13.0,12.0,168.0,13.1,"Rain, Partially cloudy",87954.40500000001,1
82,2022-11-16 10:00:00,1.47,10.05,0.23,20.5,12.4,190.0,12.6,Rain,87042.405,1
83,2022-11-16 11:00:00,1.48,11.58,0.0,22.3,13.0,177.0,14.1,Partially cloudy,83858.3824,1
84,2022-11-16 12:00:00,2.16,12.85,0.0,20.5,16.4,185.0,13.6,Partially cloudy,79889.44499999999,1
85,2022-11-16 13:00:00,2.48,12.95,0.0,18.4,14.3,170.0,13.1,Partially cloudy,78030.2285,1
86,2022-11-16 14:00:00,3.24,12.03,0.0,24.1,16.2,155.0,13.1,Partially cloudy,79534.77,2
87,2022-11-16 15:00:00,4.22,11.4,0.0,20.5,16.0,162.0,11.9,Partially cloudy,81300.42550000001,2
88,2022-11-16 16:00:00,4.2,10.7,0.0,20.5,16.1,132.0,10.6,Overcast,82431.58140000001,2
89,2022-11-16 17:00:00,7.03,10.33,0.23,25.9,15.3,117.0,10.4,"Rain, Partially cloudy",84420.0775,3
90,2022-11-16 18:00:00,6.34,10.43,0.043,27.7,18.6,122.0,11.1,"Rain, Overcast",84306.87999999999,3
91,2022-11-16 19:00:00,5.09,9.98,0.917,27.7,15.5,96.0,9.1,"Rain, Overcast",84611.8755,3
92,2022-11-16 20:00:00,3.27,9.4,0.875,38.9,24.4,73.0,5.0,"Rain, Overcast",85007.3854,2
93,2022-11-16 21:00:00,3.17,9.5,5.678,33.5,26.0,82.0,7.0,"Rain, Overcast",86182.06300000001,2
94,2022-11-16 22:00:00,4.45,9.98,1.398,18.4,16.4,93.0,10.7,"Rain, Overcast",86377.3169,2
95,2022-11-16 23:00:00,6.99,10.25,0.096,24.1,9.9,122.0,9.5,"Rain, Overcast",86646.789,3
96,2022-11-17 00:00:00,8.63,10.63,1.299,27.7,9.9,87.0,8.8,"Rain, Overcast",86662.26800000001,4
97,2022-11-17 01:00:00,7.22,10.78,0.13,22.3,8.1,318.0,9.3,"Rain, Overcast",86692.2175,3
98,2022-11-17 02:00:00,9.29,10.73,0.011,27.7,17.6,297.0,9.8,"Rain, Overcast",86556.68840000001,4
99,2022-11-17 03:00:00,1.84,9.83,0.03,51.8,26.3,285.0,8.8,"Rain, Overcast",85455.1665,1
100,2022-11-17 04:00:00,0.85,8.93,0.0,55.4,28.8,286.0,9.7,Overcast,86178.4245,1
101,2022-11-17 05:00:00,1.6,8.73,0.529,44.6,29.7,276.0,11.2,"Rain, Overcast",86876.52350000001,1
102,2022-11-17 06:00:00,2.79,8.6,1.497,46.4,32.4,270.0,6.2,"Rain, Overcast",86986.1924,2
103,2022-11-17 07:00:00,3.56,8.5,0.971,46.4,30.9,269.0,6.7,"Rain, Overcast",87278.7575,2
104,2022-11-17 08:00:00,5.07,8.5,0.454,44.6,31.7,266.0,11.8,"Rain, Overcast",87466.3694,3
105,2022-11-17 09:00:00,6.21,8.68,1.532,44.6,30.3,266.0,14.1,"Rain, Overcast",87369.53139999999,3
106,2022-11-17 10:00:00,5.12,8.98,0.038,40.7,31.1,260.0,14.1,"Rain, Overcast",86744.9899,3
107,2022-11-17 11:00:00,4.49,9.7,0.0,42.5,32.2,266.0,13.6,Partially cloudy,85735.45049999999,2
108,2022-11-17 12:00:00,4.51,11.0,0.146,40.7,32.9,269.0,14.1,"Rain, Partially cloudy",83758.1654,2
109,2022-11-17 13:00:00,4.09,11.45,0.0,44.6,29.5,269.0,13.6,Partially cloudy,81445.4525,2
