name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
hendon london,2022-11-13T00:00:00,11,11,10.8,98.73,0.019,100,rain,0,0,24.1,8.6,116,1024.1,100,5,0,0,0,,"Rain, Overcast",rain,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T01:00:00,12,12,11.3,95.26,0,0,,0,0,18.4,9.5,135,1023.3,100,4.4,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T02:00:00,12,12,11.7,98.24,0,0,,0,0,22.3,11.3,135,1023.2,100,3.5,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T03:00:00,12,12,11.7,98.21,0,0,,0,0,25.9,7.7,138,1023.1,100,4.4,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T04:00:00,11.9,11.9,11.7,98.49,0,0,,0,0,9.4,8.4,132,1022.3,100,5.6,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T05:00:00,11.9,11.9,11.5,97.05,0,0,,0,0,9.4,7.8,135,1022.2,100,5.6,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T06:00:00,11.7,11.7,11,95.49,0.011,100,rain,0,0,11.2,9.5,125,1021.2,100,5,0,0,0,,"Rain, Overcast",rain,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T07:00:00,11.5,11.5,10.9,96.41,0,0,,0,0,7.6,10.9,102,1021.1,100,3.4,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T08:00:00,10.8,10.8,10.4,97.73,0,0,,0,0,5.4,8.8,96,1021.2,97.2,2.7,16,0.1,0,,Overcast,cloudy,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T09:00:00,10.9,10.9,10.7,98.48,0,0,,0,0,14.8,10.2,97,1021.2,97.2,3.9,32,0.1,0,,Overcast,cloudy,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T10:00:00,11.4,11.4,10.8,96.17,0,0,,0,0,5.4,7,77,1021.1,96.2,7.2,60,0.2,1,,Overcast,cloudy,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T11:00:00,12.4,12.4,11.1,92.09,0,0,,0,0,3.6,7.5,112,1020.2,91,10,91,0.3,1,,Overcast,cloudy,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T12:00:00,12.5,12.5,11,90.7,0,0,,0,0,3.6,10.5,103,1019.2,81.8,9.6,128,0.5,1,,Partially cloudy,partly-cloudy-day,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T13:00:00,13.1,13.1,11.2,88.21,0,0,,0,0,13,9.8,98,1018.2,80.8,11.4,169,0.6,2,,Partially cloudy,partly-cloudy-day,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T14:00:00,13.9,13.9,11.2,84.25,0,0,,0,0,20.5,9.9,99,1017.3,55.5,14.1,230,0.8,2,,Partially cloudy,partly-cloudy-day,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T15:00:00,13.8,13.8,11.1,83.4,0,0,,0,0,14.8,10.8,96,1017.1,61.7,13.1,84,0.3,1,,Partially cloudy,partly-cloudy-day,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T16:00:00,13.2,13.2,11.2,87.32,0,0,,0,0,3.6,9.4,97,1017.1,8,11.6,21,0.1,0,,Clear,clear-day,"03680099999,D4121,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T17:00:00,12.2,12.2,10.8,91.53,0,0,,0,0,11.2,7.7,91,1016.2,43.8,6.9,5,0,0,,Partially cloudy,partly-cloudy-night,"03680099999,E4320,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T18:00:00,12.1,12.1,11.4,95.16,0,0,,0,0,16.6,12,86,1016.1,83.6,4.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T19:00:00,11.7,11.7,10.8,94.53,0,0,,0,0,16.6,9.4,103,1015.2,86.9,7.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T20:00:00,11.2,11.2,10.5,95.72,0,0,,0,0,22.3,4,111,1015.1,97.2,6.3,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
hendon london,2022-11-13T21:00:00,10.1,10.1,9.4,95.8,0,0,,0,0,24.1,4.7,82,1014.8,64.7,3.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03680099999,03672099999,03781099999,03772099999,03770099999"
