,NOx State,PM State,PM2.5 Scaled µg/m³,PM10 Scaled µg/m³,Pressure mbar,Humidity %RH,Temperature C,Datetime,HourOfDay,DayOfWeek,DayOfMonth,Month,Day,precip,windgust,windspeed,winddir,cloudcover,visibility,conditions,icon,NO µg/m3,NO2 µg/m3,NOx µg/m3
0,OK,Deliquescence,51.21,66.34,1016.0,88.45,11.35,2022-11-13 00:00:00,0,6,30,30,13,0.019,24.1,8.6,116.0,100.0,5.0,"Rain, Overcast",rain,2.4252,24.025,39.22537500000001
1,OK,OK,40.59,37.35,1015.43,88.6,11.8,2022-11-13 01:00:00,1,6,30,30,13,0.0,18.4,9.5,135.0,100.0,4.4,Overcast,cloudy,0.4324,18.075000000000003,28.094625
2,OK,OK,34.94,29.36,1014.53,88.65,12.0,2022-11-13 02:00:00,2,6,30,30,13,0.0,22.3,11.3,135.0,100.0,3.5,Overcast,cloudy,2.6131999999999995,15.362499999999999,26.163
3,OK,OK,30.73,24.28,1014.73,88.48,12.18,2022-11-13 03:00:00,3,6,30,30,13,0.0,25.9,7.7,138.0,100.0,4.4,Overcast,cloudy,1.0903999999999998,15.375,24.633000000000003
4,OK,OK,31.17,24.5,1014.58,88.48,12.15,2022-11-13 04:00:00,4,6,30,30,13,0.0,9.4,8.4,132.0,100.0,5.6,Overcast,cloudy,2.0304,15.0375,25.092
5,OK,OK,32.81,28.65,1014.18,88.43,12.0,2022-11-13 05:00:00,5,6,30,30,13,0.0,9.4,7.8,135.0,100.0,5.6,Overcast,cloudy,0.846,14.4875,23.007375
6,OK,Deliquescence,30.27,73.23,1013.58,88.35,11.75,2022-11-13 06:00:00,6,6,30,30,13,0.011,11.2,9.5,125.0,100.0,5.0,"Rain, Overcast",rain,1.4664,15.0875,24.575625
7,OK,Deliquescence,24.44,103.6,1012.98,88.43,11.35,2022-11-13 07:00:00,7,6,30,30,13,0.0,7.6,10.9,102.0,100.0,3.4,Overcast,cloudy,1.1467999999999998,15.7125,25.20675
8,OK,Deliquescence,23.24,84.28,1012.98,88.78,11.03,2022-11-13 08:00:00,8,6,30,30,13,0.0,5.4,8.8,96.0,97.2,2.7,Overcast,cloudy,6.1476,15.962499999999999,30.6765
9,OK,Deliquescence,22.68,52.8,1012.65,89.18,11.23,2022-11-13 09:00:00,9,6,30,30,13,0.0,14.8,10.2,97.0,97.2,3.9,Overcast,cloudy,11.204799999999999,18.8125,40.181625000000004
10,OK,Deliquescence,20.48,24.4,1012.5,89.08,11.3,2022-11-13 10:00:00,10,6,30,30,13,0.0,5.4,7.0,77.0,96.2,7.2,Overcast,cloudy,12.2952,18.85,41.34825000000001
11,OK,OK,20.66,16.12,1012.23,89.03,11.65,2022-11-13 11:00:00,11,6,30,30,13,0.0,3.6,7.5,112.0,91.0,10.0,Overcast,cloudy,18.517999999999997,20.637500000000003,50.4135
12,OK,OK,21.81,16.09,1011.15,88.48,12.35,2022-11-13 12:00:00,12,6,30,30,13,0.0,3.6,10.5,103.0,81.8,9.6,Partially cloudy,partly-cloudy-day,13.423199999999998,20.4375,44.924625
13,OK,OK,20.97,14.77,1010.43,88.08,13.6,2022-11-13 13:00:00,13,6,30,30,13,0.0,13.0,9.8,98.0,80.8,11.4,Partially cloudy,partly-cloudy-day,11.3364,18.4625,39.78
14,OK,OK,23.73,16.55,1009.5,84.38,15.1,2022-11-13 14:00:00,14,6,30,30,13,0.0,20.5,9.9,99.0,55.5,14.1,Partially cloudy,partly-cloudy-day,12.408,22.9375,47.716875
15,OK,OK,28.06,20.08,1009.1,83.43,14.45,2022-11-13 15:00:00,15,6,30,30,13,0.0,14.8,10.8,96.0,61.7,13.1,Partially cloudy,partly-cloudy-day,7.7456,23.1875,43.35637500000001
16,OK,OK,30.56,22.33,1009.08,84.75,12.98,2022-11-13 16:00:00,16,6,30,30,13,0.0,3.6,9.4,97.0,8.0,11.6,Clear,clear-day,14.852,26.7375,56.017125
